Datetime,Resolution code,Offshore/onshore,Region,Grid connection type,Measured & Upscaled,Most recent forecast,Most recent P10,Most recent P90,Day Ahead 11AM forecast,Day Ahead 11AM P10,Day Ahead 11AM P90,Day-ahead 6PM forecast,Day-ahead 6PM P10,Day-ahead 6PM P90,Week-ahead forecast,Week-ahead P10,Week-ahead P90,Monitored capacity,Load factor,Decremental bid Indicator
2017-12-31 06:15:00+01:00,PT15M,Onshore,Flanders,Elia,42.388,44.015,39.964,47.099,45.998,42.332,49.35,46.433,43.049,49.327,32.952,19.155,46.278,53.86,0.786998,0
2017-12-31 06:00:00+01:00,PT15M,Onshore,Flanders,Elia,42.508,43.801,39.635,47.051,45.988,42.379,49.292,46.423,43.075,49.303,32.951,19.134,46.316,53.86,0.78924,0
2017-12-31 05:45:00+01:00,PT15M,Onshore,Flanders,Elia,43.015,45.784,41.266,49.39,45.866,42.196,49.232,46.394,43.021,49.3,32.968,19.125,46.394,53.86,0.798637,0
2017-12-31 05:30:00+01:00,PT15M,Onshore,Flanders,Elia,43.064,45.734,41.016,49.531,45.633,41.785,49.17,46.344,42.884,49.317,33.003,19.128,46.504,53.86,0.799559,0
2017-12-31 05:15:00+01:00,PT15M,Onshore,Flanders,Elia,42.824,45.682,40.763,49.674,45.397,41.375,49.11,46.295,42.746,49.335,33.039,19.134,46.615,53.86,0.795093,0
2017-12-31 05:00:00+01:00,PT15M,Onshore,Flanders,Elia,42.222,45.632,40.513,49.815,45.164,40.964,49.048,46.245,42.609,49.352,33.074,19.137,46.725,53.86,0.783927,0
2017-12-31 04:45:00+01:00,PT15M,Onshore,Flanders,Elia,42.705,45.214,39.722,49.833,44.36,39.632,48.809,45.77,41.667,49.371,33.118,19.144,46.838,53.86,0.792885,0
2017-12-31 04:30:00+01:00,PT15M,Onshore,Flanders,Elia,42.623,44.429,38.393,49.728,42.986,37.381,48.394,44.869,39.919,49.393,33.165,19.152,46.954,53.86,0.791365,0
2017-12-31 04:15:00+01:00,PT15M,Onshore,Flanders,Elia,42.024,43.644,37.064,49.622,41.614,35.129,47.98,43.966,38.17,49.412,33.215,19.161,47.067,53.86,0.78025,0
2017-12-31 04:00:00+01:00,PT15M,Onshore,Flanders,Elia,36.64,42.859,35.735,49.517,40.24,32.878,47.565,43.065,36.422,49.434,33.262,19.169,47.183,53.86,0.680278,0
2017-12-31 03:45:00+01:00,PT15M,Onshore,Flanders,Elia,31.318,41.011,33.302,48.357,38.686,30.518,46.854,41.625,34.149,48.893,33.304,19.174,47.278,53.86,0.581461,0
2017-12-31 03:30:00+01:00,PT15M,Onshore,Flanders,Elia,27.137,38.098,29.767,46.146,36.947,28.05,45.846,39.65,31.354,47.795,33.339,19.172,47.351,53.86,0.503836,0
2017-12-31 03:15:00+01:00,PT15M,Onshore,Flanders,Elia,24.109,35.186,26.229,43.938,35.209,25.579,44.84,37.674,28.561,46.697,33.374,19.169,47.423,53.86,0.447633,0
2017-12-31 03:00:00+01:00,PT15M,Onshore,Flanders,Elia,22.823,32.273,22.694,41.727,33.47,23.111,43.832,35.699,25.766,45.599,33.409,19.167,47.496,53.86,0.423744,0
2017-12-31 02:45:00+01:00,PT15M,Onshore,Flanders,Elia,20.236,29.388,19.637,39.068,31.495,20.915,42.078,33.272,23.054,43.489,33.423,19.148,47.537,53.86,0.375721,0
2017-12-31 02:30:00+01:00,PT15M,Onshore,Flanders,Elia,16.122,26.534,17.056,35.959,29.284,18.993,39.577,30.396,20.426,40.366,33.422,19.112,47.546,53.86,0.299332,0
2017-12-31 02:15:00+01:00,PT15M,Onshore,Flanders,Elia,13.069,23.68,14.475,32.853,27.075,17.073,37.076,27.519,17.795,37.243,33.421,19.076,47.556,53.86,0.242656,0
2017-12-31 02:00:00+01:00,PT15M,Onshore,Flanders,Elia,12.662,20.826,11.894,29.744,24.864,15.151,34.575,24.643,15.167,34.12,33.42,19.04,47.565,53.86,0.23509,0
2017-12-31 01:45:00+01:00,PT15M,Onshore,Flanders,Elia,14.195,18.564,9.906,27.241,23.044,13.584,32.502,22.28,13.072,31.492,33.386,18.981,47.535,53.86,0.263548,0
2017-12-31 01:30:00+01:00,PT15M,Onshore,Flanders,Elia,14.536,16.896,8.511,25.34,21.614,12.371,30.856,20.434,11.51,29.359,33.324,18.898,47.465,53.86,0.269894,0
2017-12-31 01:15:00+01:00,PT15M,Onshore,Flanders,Elia,13.261,15.228,7.113,23.44,20.185,11.159,29.209,18.589,9.947,27.228,33.263,18.815,47.395,53.86,0.246218,0
2017-12-31 01:00:00+01:00,PT15M,Onshore,Flanders,Elia,12.565,13.56,5.718,21.539,18.755,9.946,27.563,16.743,8.385,25.095,33.201,18.732,47.325,53.86,0.233281,0
2017-12-31 00:45:00+01:00,PT15M,Onshore,Flanders,Elia,11.196,12.745,5.034,20.623,17.75,9.091,26.408,15.894,7.683,24.109,33.1,18.619,47.234,53.86,0.207872,0
2017-12-31 00:30:00+01:00,PT15M,Onshore,Flanders,Elia,11.1,12.785,5.07,20.689,17.168,8.593,25.744,16.049,7.843,24.266,32.964,18.476,47.119,53.86,0.206096,0
2017-12-31 00:15:00+01:00,PT15M,Onshore,Flanders,Elia,9.459,12.824,5.103,20.757,16.587,8.095,25.078,16.201,8.004,24.422,32.827,18.332,47.005,53.86,0.175615,0
2017-12-31 00:00:00+01:00,PT15M,Onshore,Flanders,Elia,14.392,12.864,5.139,20.823,16.005,7.597,24.414,16.356,8.164,24.579,32.691,18.189,46.89,53.86,0.267211,0
2017-12-30 23:45:00+01:00,PT15M,Onshore,Flanders,Elia,19.161,13.894,5.819,22.218,33.535,22.528,44.279,28.919,18.124,39.697,37.407,23.524,48.085,53.86,0.355763,0
2017-12-30 23:30:00+01:00,PT15M,Onshore,Flanders,Elia,20.894,15.916,7.147,24.943,32.843,22.227,43.275,28.491,18.064,38.908,37.34,23.434,48.09,53.86,0.387925,0
2017-12-30 23:15:00+01:00,PT15M,Onshore,Flanders,Elia,23.35,17.938,8.475,27.666,32.154,21.923,42.271,28.064,18.004,38.118,37.273,23.347,48.092,53.86,0.433524,0
2017-12-30 23:00:00+01:00,PT15M,Onshore,Flanders,Elia,26.21,19.96,9.803,30.391,31.462,21.622,41.267,27.636,17.944,37.329,37.206,23.257,48.097,53.86,0.486637,0
2017-12-30 22:45:00+01:00,PT15M,Onshore,Flanders,Elia,27.536,21.769,11.244,32.551,31.15,21.366,40.935,27.506,17.854,37.158,37.111,23.13,48.104,53.86,0.511247,0
2017-12-30 22:30:00+01:00,PT15M,Onshore,Flanders,Elia,30.367,23.362,12.799,34.149,31.217,21.163,41.271,27.669,17.732,37.607,36.992,22.969,48.114,53.86,0.563816,0
2017-12-30 22:15:00+01:00,PT15M,Onshore,Flanders,Elia,31.896,24.956,14.354,35.745,31.282,20.958,41.608,27.833,17.612,38.053,36.872,22.809,48.128,53.86,0.592195,0
2017-12-30 22:00:00+01:00,PT15M,Onshore,Flanders,Elia,32.863,26.549,15.909,37.343,31.349,20.755,41.944,27.996,17.49,38.502,36.753,22.648,48.138,53.86,0.61016,0
2017-12-30 21:45:00+01:00,PT15M,Onshore,Flanders,Elia,33.162,28.02,17.64,38.531,31.482,20.821,42.116,28.522,17.949,39.088,36.613,22.462,48.148,53.86,0.615707,0
2017-12-30 21:30:00+01:00,PT15M,Onshore,Flanders,Elia,32.258,29.367,19.547,39.309,31.68,21.156,42.126,29.411,18.987,39.812,36.455,22.249,48.157,53.86,0.598914,0
2017-12-30 21:15:00+01:00,PT15M,Onshore,Flanders,Elia,30.568,30.716,21.456,40.083,31.877,21.494,42.134,30.301,20.027,40.538,36.299,22.041,48.164,53.86,0.567546,0
2017-12-30 21:00:00+01:00,PT15M,Onshore,Flanders,Elia,30.249,32.063,23.363,40.861,32.075,21.829,42.144,31.19,21.065,41.262,36.141,21.828,48.173,53.86,0.56162,0
2017-12-30 20:45:00+01:00,PT15M,Onshore,Flanders,Elia,31.95,33.276,24.844,41.7,32.478,22.461,42.314,32.014,22.137,41.842,35.972,21.603,48.178,53.86,0.593195,0
2017-12-30 20:30:00+01:00,PT15M,Onshore,Flanders,Elia,32.118,34.533,26.292,42.76,33.083,23.387,42.646,32.776,23.242,42.273,35.794,21.366,48.181,53.86,0.596327,0
2017-12-30 20:15:00+01:00,PT15M,Onshore,Flanders,Elia,32.555,35.789,27.737,43.818,33.686,24.316,42.979,33.534,24.346,42.702,35.616,21.128,48.186,53.86,0.604438,0
2017-12-30 20:00:00+01:00,PT15M,Onshore,Flanders,Elia,34.986,37.046,29.185,44.878,34.291,25.242,43.311,34.296,25.451,43.133,35.438,20.891,48.189,53.86,0.649574,0
2017-12-30 19:45:00+01:00,PT15M,Onshore,Flanders,Elia,36.879,37.959,30.305,45.561,34.774,25.966,43.567,34.902,26.302,43.489,35.266,20.659,48.19,53.86,0.684713,0
2017-12-30 19:30:00+01:00,PT15M,Onshore,Flanders,Elia,37.643,38.528,31.096,45.867,35.134,26.486,43.749,35.359,26.897,43.778,35.099,20.433,48.189,53.86,0.698912,0
2017-12-30 19:15:00+01:00,PT15M,Onshore,Flanders,Elia,37.086,39.095,31.884,46.172,35.497,27.004,43.932,35.813,27.492,44.066,34.931,20.207,48.189,53.86,0.688561,0
2017-12-30 19:00:00+01:00,PT15M,Onshore,Flanders,Elia,38.033,39.664,32.675,46.478,35.857,27.524,44.114,36.27,28.087,44.355,34.764,19.981,48.188,53.86,0.706142,0
2017-12-30 18:45:00+01:00,PT15M,Onshore,Flanders,Elia,37.641,40.159,33.4,46.699,36.262,28.019,44.429,36.719,28.61,44.71,34.608,19.768,48.166,53.86,0.69886,0
2017-12-30 18:30:00+01:00,PT15M,Onshore,Flanders,Elia,38.494,40.581,34.059,46.835,36.711,28.487,44.873,37.161,29.066,45.135,34.461,19.571,48.12,53.86,0.714712,0
2017-12-30 18:15:00+01:00,PT15M,Onshore,Flanders,Elia,38.732,41.002,34.72,46.969,37.16,28.954,45.317,37.607,29.52,45.562,34.314,19.374,48.077,53.86,0.719123,0
2017-12-30 18:00:00+01:00,PT15M,Onshore,Flanders,Elia,38.82,41.424,35.379,47.105,37.609,29.422,45.761,38.049,29.976,45.987,34.167,19.177,48.031,53.86,0.720763,0
2017-12-30 17:45:00+01:00,PT15M,Onshore,Flanders,Elia,38.317,41.652,35.738,47.189,38.176,30.046,46.222,38.604,30.522,46.393,34.035,19.001,47.988,53.86,0.711426,0
2017-12-30 17:30:00+01:00,PT15M,Onshore,Flanders,Elia,39.153,41.682,35.797,47.222,38.864,30.828,46.701,39.27,31.161,46.782,33.916,18.843,47.946,53.86,0.726943,0
2017-12-30 17:15:00+01:00,PT15M,Onshore,Flanders,Elia,40.097,41.713,35.854,47.254,39.552,31.608,47.183,39.937,31.797,47.169,33.799,18.687,47.904,53.86,0.744463,0
2017-12-30 17:00:00+01:00,PT15M,Onshore,Flanders,Elia,39.743,41.743,35.913,47.287,40.24,32.39,47.662,40.603,32.436,47.558,33.68,18.529,47.862,53.86,0.737893,0
2017-12-30 16:45:00+01:00,PT15M,Onshore,Flanders,Elia,38.486,41.781,36.035,47.258,40.9,33.223,47.992,41.122,33.027,47.85,33.579,18.401,47.82,53.86,0.71456,0
2017-12-30 16:30:00+01:00,PT15M,Onshore,Flanders,Elia,38.661,41.825,36.222,47.165,41.535,34.111,48.17,41.495,33.572,48.049,33.502,18.299,47.777,53.86,0.717805,0
2017-12-30 16:15:00+01:00,PT15M,Onshore,Flanders,Elia,39.609,41.871,36.408,47.076,42.174,34.998,48.348,41.869,34.118,48.247,33.422,18.196,47.734,53.86,0.735405,0
2017-12-30 16:00:00+01:00,PT15M,Onshore,Flanders,Elia,40.118,41.915,36.595,46.983,42.809,35.886,48.526,42.242,34.663,48.446,33.345,18.094,47.691,53.86,0.744864,0
2017-12-30 15:45:00+01:00,PT15M,Onshore,Flanders,Elia,41.955,42.553,36.79,47.675,43.304,36.625,48.7,42.673,35.301,48.618,33.288,18.025,47.648,53.86,0.778964,0
2017-12-30 15:30:00+01:00,PT15M,Onshore,Flanders,Elia,41.821,42.837,37.274,47.666,43.658,37.212,48.867,43.163,36.032,48.76,33.254,17.987,47.608,53.86,0.776473,0
2017-12-30 15:15:00+01:00,PT15M,Onshore,Flanders,Elia,41.961,43.122,37.76,47.658,44.009,37.8,49.036,43.652,36.765,48.903,33.221,17.945,47.567,53.86,0.779071,0
2017-12-30 15:00:00+01:00,PT15M,Onshore,Flanders,Elia,41.899,43.406,38.244,47.649,44.363,38.387,49.203,44.142,37.496,49.045,33.187,17.907,47.527,53.86,0.777923,0
2017-12-30 14:45:00+01:00,PT15M,Onshore,Flanders,Elia,44.041,43.666,38.679,47.649,44.637,38.849,49.33,44.478,38.012,49.143,33.175,17.901,47.505,53.86,0.817686,0
2017-12-30 14:30:00+01:00,PT15M,Onshore,Flanders,Elia,43.697,43.904,39.065,47.658,44.834,39.182,49.418,44.659,38.316,49.195,33.185,17.929,47.499,53.86,0.811312,0
2017-12-30 14:15:00+01:00,PT15M,Onshore,Flanders,Elia,43.877,44.142,39.452,47.669,45.031,39.518,49.504,44.839,38.618,49.244,33.194,17.956,47.492,53.86,0.814642,0
