Date & Time,"Average  Wind Speed
(m/s)"," Average  Wind Dirction
(deg) "," Average Active Power
(MW) "," Forecasted Power 
(kW) "
8/2/2021 4:20,8.09,191.4,46.34,60.03
8/2/2021 4:30,8.11,192.61,47.15,59.98
8/2/2021 4:40,8.11,195.75,47.24,54.72
8/2/2021 4:50,8.45,195.87,53.3,55.3
8/2/2021 5:00,8.69,195.96,57.4,52.45
8/2/2021 5:10,8.99,193.59,63.22,53.06
8/2/2021 5:20,9.08,192.77,65.12,58.33
8/2/2021 5:30,8.87,191.66,60.91,58.77
8/2/2021 5:40,9.02,191.62,63.36,64.88
8/2/2021 5:50,8.7,190.56,57.84,65.17
8/2/2021 6:00,8.61,191.14,56.16,63.34
8/2/2021 6:10,8.44,190.53,52.87,63.71
8/2/2021 6:20,8.66,191.32,57.09,61.46
8/2/2021 6:30,8.74,190.87,58.72,61.92
8/2/2021 6:40,8.54,191.79,54.99,57.15
8/2/2021 6:50,8.41,189.4,51.91,56.59
8/2/2021 7:00,8.4,189.49,52.38,59.09
8/2/2021 7:10,8.44,189.91,53.54,58.13
8/2/2021 7:20,8.54,190.76,55.11,52.25
8/2/2021 7:30,8.38,191.81,52.31,51.32
8/2/2021 7:40,8.62,193.53,56.78,54.6
8/2/2021 7:50,8.37,194.06,52.36,55.43
8/2/2021 8:00,8.07,194.24,46.99,57.85
8/2/2021 8:10,8.15,193.67,48.81,58.7
8/2/2021 8:20,8.39,193.76,52.84,55.68
8/2/2021 8:30,8.3,193.18,50.98,56.87
8/2/2021 8:40,8.58,194.3,56.77,54.41
8/2/2021 8:50,8.79,195.92,60.78,54.19
8/2/2021 9:00,8.56,197.12,56.18,53.51
8/2/2021 9:10,8.27,198.17,50.44,53.06
8/2/2021 9:20,8.23,197.3,49.51,59.28
8/2/2021 9:30,8.47,193.47,53.66,58.42
8/2/2021 9:40,8.65,191.9,58.08,51.46
8/2/2021 9:50,8.62,192.25,57.18,51.7
8/2/2021 10:00,8.87,192.29,61.19,55.02
8/2/2021 10:10,9.05,193.78,66.69,55.16
8/2/2021 10:20,8.74,195.66,59.98,56.94
8/2/2021 10:30,8.33,195.71,51.79,57.05
8/2/2021 10:40,8.35,196.04,52.15,65.06
8/2/2021 10:50,8.46,195.83,53.77,65.41
8/2/2021 11:00,8.38,195.5,52.18,54.54
8/2/2021 11:10,8.7,193.18,58.72,55.48
8/2/2021 11:20,9.08,191.46,66.06,56.57
8/2/2021 11:30,9.08,190.48,66.37,57.6
8/2/2021 11:40,8.66,189.76,58.58,61.66
8/2/2021 11:50,8.44,189.43,54.15,62.27
2/8/2021,8.51,190.29,55.25,67.49
8/2/2021 12:10,8.49,191.67,54.86,67.95
8/2/2021 12:20,8.51,191.15,55,61.86
8/2/2021 12:30,8.5,188.82,54.86,62.59
8/2/2021 12:40,8.54,188.68,55.55,60.73
8/2/2021 12:50,8.48,187.78,54.93,62.69
8/2/2021 13:00,8.62,188.97,58.02,61.94
8/2/2021 13:10,8.93,189.03,63.6,64.16
8/2/2021 13:20,8.87,189.07,61.21,64.63
8/2/2021 13:30,9.01,189.55,64.38,67.13
8/2/2021 13:40,9.42,187.58,71.85,68.85
8/2/2021 13:50,9.93,188.01,81.7,70.25
8/2/2021 14:00,9.79,189.07,79,73.5
8/2/2021 14:10,10,188.98,83.8,74.7
8/2/2021 14:20,10.35,189.63,89.63,83.87
8/2/2021 14:30,10.53,189.75,92.16,84.73
8/2/2021 14:40,10.56,190.83,93.46,88.15
8/2/2021 14:50,10.53,191.03,93.16,88.73
8/2/2021 15:00,10.53,190.8,93.03,95.29
8/2/2021 15:10,10.7,190.13,94.68,95.62
8/2/2021 15:20,10.85,189.3,95.93,95.88
8/2/2021 15:30,11.15,188.89,96.92,96.17
8/2/2021 15:40,11.21,188.83,97.25,96.81
8/2/2021 15:50,11.06,190.47,96.38,97.07
8/2/2021 16:00,10.93,191.04,95.12,98.46
8/2/2021 16:10,10.97,190.52,98.62,98.65
8/2/2021 16:20,11.09,190.8,98.99,97.63
8/2/2021 16:30,11.34,189.51,100.1,97.85
8/2/2021 16:40,11.86,187.17,100.98,99.95
8/2/2021 16:50,12.31,186.2,101.48,100.1
8/2/2021 17:00,12.2,187.65,101.41,100.6
8/2/2021 17:10,12.25,187.79,101.46,100.71
8/2/2021 17:20,12.64,188.05,101.62,100.81
8/2/2021 17:30,12.54,187.27,101.57,100.91
8/2/2021 17:40,12.35,187.7,101.47,101
8/2/2021 17:50,12.29,187.85,101.42,101.11
8/2/2021 18:00,12.22,188.89,101.43,101.21
8/2/2021 18:10,12.33,189.39,101.41,101.31
8/2/2021 18:20,12.93,190.43,101.81,101.43
8/2/2021 18:30,13.19,190.63,102,101.55
8/2/2021 18:40,13.43,189.95,102.11,101.67
8/2/2021 18:50,13.88,190.06,102.41,101.78
8/2/2021 19:00,14,191.76,102.5,101.88
8/2/2021 19:10,14.03,191.8,102.55,101.98
8/2/2021 19:20,14.16,191.27,102.63,102.08
8/2/2021 19:30,14.27,191.33,102.7,102.18
8/2/2021 19:40,14.29,190.85,102.69,102.27
8/2/2021 19:50,14.54,192.72,102.77,102.36
8/2/2021 20:00,14.43,193.15,102.77,102.47
8/2/2021 20:10,14.6,192.99,102.87,102.58
8/2/2021 20:20,14.67,193.42,102.88,102.67
8/2/2021 20:30,14.39,193.57,102.76,102.75
8/2/2021 20:40,14.43,193.98,102.76,102.83
8/2/2021 20:50,14.86,194.78,102.98,102.9
