Time Stamp,Actual Total WTG Output Power /kW,Forecasted Power,,,,,,,,,,,,,,,,,
,,T+10,T+20,T+30,T+40,T+50,T+60,T+70,T+80,T+90,T+100,T+110,T+120,T+130,T+140,T+150,T+160,T+170,T+180
9/1/21 11:10,"64,280.8","64,862.5","64,897.9","64,932.7","64,726.6","64,386.3","64,016.4","63,564.5","63,035.2","62,384.6","62,339.7","62,292.9","62,233.7","62,147.6","62,050.1","61,925.1","63,320.6","64,827.4","66,404.7"
9/1/21 11:20,"62,442.3","64,897.9","64,932.7","64,726.6","64,386.3","64,016.4","63,564.5","63,035.2","62,384.6","62,339.7","62,292.9","62,233.7","62,147.6","62,050.1","61,925.1","63,320.6","64,827.4","66,404.7","68,025.3"
9/1/21 11:30,"64,934.2","67,608.2","67,321.9","66,960.8","66,535.6","66,024.3","65,429.4","64,751.9","64,600.8","64,432.1","64,250.3","64,054.8","63,841.7","63,614.7","64,759.7","65,993.8","67,314.1","68,742.2","70,267.3"
9/1/21 11:40,"68,143.0","67,321.9","66,960.8","66,535.6","66,024.3","65,429.4","64,751.9","64,600.8","64,432.1","64,250.3","64,054.8","63,841.7","63,614.7","64,759.7","65,993.8","67,314.1","68,742.2","70,267.3","71,853.5"
9/1/21 11:50,"69,944.4","66,070.0","65,780.6","65,412.2","64,963.2","64,442.7","64,335.2","64,214.5","64,075.9","63,919.8","63,741.9","63,550.7","64,549.2","65,640.9","66,831.8","68,107.2","69,476.2","70,905.1","72,357.5"
9/1/21 12:00,"71,829.0","65,780.6","65,412.2","64,963.2","64,442.7","64,335.2","64,214.5","64,075.9","63,919.8","63,741.9","63,550.7","64,549.2","65,640.9","66,831.8","68,107.2","69,476.2","70,905.1","72,357.5","73,920.5"
9/1/21 12:10,"73,460.5","65,676.1","65,294.1","64,833.8","64,727.7","64,605.2","64,465.0","64,314.3","64,140.9","63,948.5","64,815.9","65,796.4","66,865.6","68,036.4","69,310.1","70,658.2","71,997.9","73,373.6","74,896.3"
9/1/21 12:20,"78,478.1","70,521.5","69,970.5","69,689.2","69,417.2","69,130.3","68,846.2","68,521.0","68,162.5","68,714.6","69,331.4","70,051.5","70,877.4","71,821.0","72,861.0","73,904.2","75,039.0","76,246.1","77,539.8"
9/1/21 12:30,"82,289.4","69,970.5","69,689.2","69,417.2","69,130.3","68,846.2","68,521.0","68,162.5","68,714.6","69,331.4","70,051.5","70,877.4","71,821.0","72,861.0","73,904.2","75,039.0","76,246.1","77,539.8","78,881.5"
9/1/21 12:40,"82,761.4","69,689.2","69,417.2","69,130.3","68,846.2","68,521.0","68,162.5","68,714.6","69,331.4","70,051.5","70,877.4","71,821.0","72,861.0","73,904.2","75,039.0","76,246.1","77,539.8","78,881.5","80,358.9"
